government_entity,source_file,ingestion_date
أمانة منطقة القصيم,Government Entity.csv,2026-01-31
بلدية محافظة عنيزة,Government Entity.csv,2026-01-31
بلدية محافظة الرس,Government Entity.csv,2026-01-31
بلدية محافظة البكيرية,Government Entity.csv,2026-01-31
بلدية محافظة المذنب,Government Entity.csv,2026-01-31
بلدية محافظة الاسياح,Government Entity.csv,2026-01-31
بلدية محافظة البدائع,Government Entity.csv,2026-01-31
بلدية محافظة رياض الخبراء,Government Entity.csv,2026-01-31
بلدية الخبراء,Government Entity.csv,2026-01-31
بلدية محافظة عيون الجواء,Government Entity.csv,2026-01-31
بلدية ضرية,Government Entity.csv,2026-01-31
بلدية البصر,Government Entity.csv,2026-01-31
بلدية دخنة,Government Entity.csv,2026-01-31
بلدية عقلة الصقور,Government Entity.csv,2026-01-31
بلدية محافظة النبهانية,Government Entity.csv,2026-01-31
بلدية محافظة الشماسية,Government Entity.csv,2026-01-31
بلدية قبة,Government Entity.csv,2026-01-31
بلدية القوارة,Government Entity.csv,2026-01-31
بلدية محافظة أبانات,Government Entity.csv,2026-01-31
بلدية الفوارة,Government Entity.csv,2026-01-31
بلدية العمار,Government Entity.csv,2026-01-31
بلدية شري,Government Entity.csv,2026-01-31
بلدية الفويلق,Government Entity.csv,2026-01-31
بلدية قصيبا,Government Entity.csv,2026-01-31
بلدية قصر بن عقيل,Government Entity.csv,2026-01-31
بلدية الدليمية,Government Entity.csv,2026-01-31
بلدية الظاهرية,Government Entity.csv,2026-01-31
بلدية البطين,Government Entity.csv,2026-01-31
أمانة منطقة جازان,Government Entity.csv,2026-01-31
بلدية محافظة صبياء,Government Entity.csv,2026-01-31
بلدية فيفا,Government Entity.csv,2026-01-31
بلدية محافظة ابى عريش,Government Entity.csv,2026-01-31
بلدية محافطة بيش,Government Entity.csv,2026-01-31
بلدية محافظة صامطة,Government Entity.csv,2026-01-31
بلدية محافظة احد المسارحة,Government Entity.csv,2026-01-31
بلدية الطوال,Government Entity.csv,2026-01-31
بلدية محافظة فرسان,Government Entity.csv,2026-01-31
بلدية وادى جازان,Government Entity.csv,2026-01-31
بلدية الموسم,Government Entity.csv,2026-01-31
بلدية محافظة ضمد,Government Entity.csv,2026-01-31
بلدية محافظة العارضة,Government Entity.csv,2026-01-31
بلدية محافظة الدرب,Government Entity.csv,2026-01-31
بلدية الحرث,Government Entity.csv,2026-01-31
بلدية محافظة الدائر بني مالك,Government Entity.csv,2026-01-31
بلدية الشقيق,Government Entity.csv,2026-01-31
بلدية محافظة العيدابي,Government Entity.csv,2026-01-31
بلدية هروب,Government Entity.csv,2026-01-31
بلدية السهى,Government Entity.csv,2026-01-31
بلدية محافظة الريث,Government Entity.csv,2026-01-31
بلدية المضايا,Government Entity.csv,2026-01-31
بلدية العالية,Government Entity.csv,2026-01-31
بلدية الحقو,Government Entity.csv,2026-01-31
بلدية قوز الجعافرة,Government Entity.csv,2026-01-31
بلدية القفل,Government Entity.csv,2026-01-31
أمانة منطقة الجوف,Government Entity.csv,2026-01-31
بلدية محافظة القريات,Government Entity.csv,2026-01-31
بلدية محافظة دومة الجندل,Government Entity.csv,2026-01-31
بلدية طبرجل,Government Entity.csv,2026-01-31
بلدية صوير,Government Entity.csv,2026-01-31
بلدية العيساوية,Government Entity.csv,2026-01-31
بلدية أبوعجرم,Government Entity.csv,2026-01-31
بلدية الناصفة,Government Entity.csv,2026-01-31
بلدية زلوم,Government Entity.csv,2026-01-31
بلدية الحديثة,Government Entity.csv,2026-01-31
أمانة منطقة تبوك,Government Entity.csv,2026-01-31
بلدية محافظة تيماء,Government Entity.csv,2026-01-31
بلدية محافظة املج,Government Entity.csv,2026-01-31
بلدية محافظة ضباء,Government Entity.csv,2026-01-31
بلدية محافظة الوجه,Government Entity.csv,2026-01-31
بلدية محافظة حقل,Government Entity.csv,2026-01-31
بلدية البدع,Government Entity.csv,2026-01-31
بلدية بير بن هرماس,Government Entity.csv,2026-01-31
بلدية القليبة,Government Entity.csv,2026-01-31
بلدية شواق,Government Entity.csv,2026-01-31
بلدية المنجور,Government Entity.csv,2026-01-31
بلدية الشبحة,Government Entity.csv,2026-01-31
بلدية بداء,Government Entity.csv,2026-01-31
بلدية أبو راكه,Government Entity.csv,2026-01-31
أمانة منطقة حائل,Government Entity.csv,2026-01-31
بلدية محافظة بقعاء,Government Entity.csv,2026-01-31
بلدية تربة بمنطقة حائل,Government Entity.csv,2026-01-31
بلدية جبة,Government Entity.csv,2026-01-31
بلدية الحائط,Government Entity.csv,2026-01-31
بلدية الخطة,Government Entity.csv,2026-01-31
بلدية الروضة,Government Entity.csv,2026-01-31
بلدية السليمى,Government Entity.csv,2026-01-31
بلدية الشملى,Government Entity.csv,2026-01-31
بلدية الكهفة,Government Entity.csv,2026-01-31
بلدية موقق,Government Entity.csv,2026-01-31
بلدية سميراء,Government Entity.csv,2026-01-31
بلدية محافظة الشنان,Government Entity.csv,2026-01-31
بلدية محافظة الغزالة,Government Entity.csv,2026-01-31
بلدية الحليفة السفلى,Government Entity.csv,2026-01-31
بلدية فيد,Government Entity.csv,2026-01-31
بلدية الأجفر,Government Entity.csv,2026-01-31
بلدية انبوان,Government Entity.csv,2026-01-31
أمانة منطقة الحدود الشمالية,Government Entity.csv,2026-01-31
بلدية محافظة رفحاء,Government Entity.csv,2026-01-31
بلدية محافظة طريف,Government Entity.csv,2026-01-31
بلدية العويقيلة,Government Entity.csv,2026-01-31
بلدية شعبة نصاب,Government Entity.csv,2026-01-31
بلدية لينه,Government Entity.csv,2026-01-31
بلدية طلعة التمياط,Government Entity.csv,2026-01-31
بلدية قرية بن شريم,Government Entity.csv,2026-01-31
بلدية روضة هباس,Government Entity.csv,2026-01-31
بلدية أم خنصر,Government Entity.csv,2026-01-31
أمانة منطقة الباحة,Government Entity.csv,2026-01-31
بلدية محافظة بلجرشى,Government Entity.csv,2026-01-31
بلدية محافظة قلوة,Government Entity.csv,2026-01-31
بلدية محافظة المندق,Government Entity.csv,2026-01-31
بلدية محافظة المخواة,Government Entity.csv,2026-01-31
بلدية محافظة العقيق,Government Entity.csv,2026-01-31
بلدية محافظة القرى,Government Entity.csv,2026-01-31
بلدية بني كبير,Government Entity.csv,2026-01-31
بلدية الحجرة,Government Entity.csv,2026-01-31
بلدية غامد الزناد,Government Entity.csv,2026-01-31
بلدية بني حسن,Government Entity.csv,2026-01-31
بلدية معشوقة,Government Entity.csv,2026-01-31
أمانة منطقة نجران,Government Entity.csv,2026-01-31
بلدية محافظة شرورة,Government Entity.csv,2026-01-31
بلدية محافظة يدمة,Government Entity.csv,2026-01-31
بلدية محافظة حبونا,Government Entity.csv,2026-01-31
بلدية سلطانة,Government Entity.csv,2026-01-31
بلدية محافظة بدرالجنوب,Government Entity.csv,2026-01-31
بلدية محافظة ثار,Government Entity.csv,2026-01-31
بلدية محافظة خباش,Government Entity.csv,2026-01-31
بلدية الوديعة,Government Entity.csv,2026-01-31
بلدية الحصينية,Government Entity.csv,2026-01-31
بلدية بئر عسكر,Government Entity.csv,2026-01-31
أمانة محافظة الطائف,Government Entity.csv,2026-01-31
بلدية محافظة تربة,Government Entity.csv,2026-01-31
بلدية محافظة الخرمة,Government Entity.csv,2026-01-31
بلدية محافظة رنية,Government Entity.csv,2026-01-31
بلدية المويه,Government Entity.csv,2026-01-31
بلدية ميسان,Government Entity.csv,2026-01-31
بلدية بني سعد,Government Entity.csv,2026-01-31
بلدية المحاني,Government Entity.csv,2026-01-31
بلدية قيا,Government Entity.csv,2026-01-31
بلدية القريع بني مالك,Government Entity.csv,2026-01-31
بلدية ظلم,Government Entity.csv,2026-01-31
أمانة محافظة الأحساء,Government Entity.csv,2026-01-31
أمانة الأحساء,Government Entity.csv,2026-01-31
بلدية يبرين,Government Entity.csv,2026-01-31
بلدية سلوى,Government Entity.csv,2026-01-31
بلدية البطحاء,Government Entity.csv,2026-01-31
بلدية عريعرة أمانة محافظة الأحساء,Government Entity.csv,2026-01-31
أمانة محافظة حفر الباطن,Government Entity.csv,2026-01-31
بلدية القيصومة,Government Entity.csv,2026-01-31
بلدية الصداوى,Government Entity.csv,2026-01-31
بلدية الذييبية,Government Entity.csv,2026-01-31
وزارة الصحة الديوان العام,Government Entity.csv,2026-01-31
المديرية العامة للشؤون الصحية بمنطقة الرياض,Government Entity.csv,2026-01-31
مدينة الملك سعود الطبية,Government Entity.csv,2026-01-31
مدينة الملك فهد الطبية,Government Entity.csv,2026-01-31
مستشفى الملك خالد التخصصي للعيون,Government Entity.csv,2026-01-31
مستشفى الامير محمد بن عبدالعزيز بالرياض,Government Entity.csv,2026-01-31
المركز السعودي لزراعة الأعضاء,Government Entity.csv,2026-01-31
المركز الوطني للطب البديل والتكميلي,Government Entity.csv,2026-01-31
اللجنة الوطنية لتعزيز الصحة النفسية,Government Entity.csv,2026-01-31
الشئون الصحية بمنطقة مكة المكرمة,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمحافظة جدة,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمحافظة الطائف,Government Entity.csv,2026-01-31
مكتب وزارة الصحة بمحافظة القنفذة,Government Entity.csv,2026-01-31
المشاعر المقدسة,Government Entity.csv,2026-01-31
مدينة الملك عبدالله الطبية بالعاصمة المقدسة,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة المدينة المنورة,Government Entity.csv,2026-01-31
صحة القصيم - إدارة المشتريات والمناقصات,Government Entity.csv,2026-01-31
فرع وزارة الصحة بالمنطقة الشرقية,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمحافظة الأحساء,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمحافظة حفر الباطن,Government Entity.csv,2026-01-31
مستشفى الملك فهد التخصصي بالدمام,Government Entity.csv,2026-01-31
مدينة الملك خالد الطبية - المنطقة الشرقية,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة عسير,Government Entity.csv,2026-01-31
مكتب وزارة الصحة بمحافظة بيشة,Government Entity.csv,2026-01-31
مدينة الملك فيصل الطبية لخدمة المناطق الجنوبية,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة تبوك,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة حائل,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة الحدود الشمالية,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة جازان,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة نجران,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة الباحة,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة الجوف,Government Entity.csv,2026-01-31
مكتب وزارة الصحة بمحافظة القريات,Government Entity.csv,2026-01-31
مدينة الأمير محمد بن عبد العزيز الطبية,Government Entity.csv,2026-01-31
فرع وزارة الصحة بمنطقة القصيم,Government Entity.csv,2026-01-31
وزارة الصحـة - برنامج مكافحة الأمراض المزمنة,Government Entity.csv,2026-01-31
وزارة الصحـة - الأدارة العامة للطواري والسلامة والنقل الإسعافي,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية بمنطقة الرياض - مستشفى الأمل,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية بمنطقة الرياض - مستشفى اليمامة بالرياض,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية بمنطقة الرياض - مستشفى الولادة والأطفال بالخرج,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية بمنطقة الرياض - مستشفى حوطة بني تميم,Government Entity.csv,2026-01-31
التجمع الصحي الأول بالرياض - مستشفى المزاحمية العام,Government Entity.csv,2026-01-31
التجمع الصحي الأول بالرياض - مستشفى رويضة العرض,Government Entity.csv,2026-01-31
التجمع الصحي الثالث بالرياض - مستشفى الدوادمي,Government Entity.csv,2026-01-31
التجمع الصحي الأول بالرياض - مستشفى القويعية,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية بمنطقة مكة المكرمة - مستشفى النورالتخصصي بمكه,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية بالمنطقة الشرقية - مستشفى الجبيل,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية بالمنطقة الشرقية - مستشفى العيون التخصصي بالظهران,Government Entity.csv,2026-01-31
المديرية العامة للشؤن الصحية بالقصيم - مستشفى الملك سعود بعنيزة,Government Entity.csv,2026-01-31
المديرية العامة للشؤن الصحية بالقصيم - مستشفى بريده المركزي,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية في عسير - مستشفى الولادة والأطفال بخميس مشيط,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية في عسير - مستشفى خميس مشيط,Government Entity.csv,2026-01-31
التجمع الصحي بالباحة - مستشفى الملك فهد بالباحة,Government Entity.csv,2026-01-31
التجمع الصحي بالباحة - مستشفى المخواه العام,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية في الجوف - مستشفى النساء والولادة والاطفال بسكاكا,Government Entity.csv,2026-01-31
التجمع الصحي بنجران - مستشفى شروره العام,Government Entity.csv,2026-01-31
التجمع الصحي بنجران - مستشفى نجران العام,Government Entity.csv,2026-01-31
التجمع الصحي بالحدود الشمالية - مستشفى الولادة والأطفال بعرعر,Government Entity.csv,2026-01-31
مديرية الشئون الصحية بالطائف - مستشفى الملك عبد العزيز التخصصي,Government Entity.csv,2026-01-31
مديرية الشئون الصحية بالطائف - مستشفى الملك فيصل,Government Entity.csv,2026-01-31
مديرية الشئون الصحية بالطائف -  مستشفى ام الدوم العام,Government Entity.csv,2026-01-31
مديرية الشئون الصحية بجدة - مستشفى الملك عبدالعزيز بجدة,Government Entity.csv,2026-01-31
التجمع الصحي بحفر الباطن - مستشفى الولادة والأطفال بحفر الباطن,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية بحفر الباطن - مستشفى حفر الباطن الجديد,Government Entity.csv,2026-01-31
المديرية العامة للشئون الصحية في الإحساء - مستشفى الأمير سعود بن جلوي,Government Entity.csv,2026-01-31
مديرية الشئون الصحية بمحافظة القنفذة - مستشفى نمرة العام,Government Entity.csv,2026-01-31
المركز العالمي لطب الحشود,Government Entity.csv,2026-01-31
مستشفى رابغ العام,Government Entity.csv,2026-01-31
المركز السعودي لسلامة المرضى - وزارة الصحة,Government Entity.csv,2026-01-31
التجمع الصحي بمنطقة القصيم,Government Entity.csv,2026-01-31
التجمع الصحي الأول بالمنطقة الشرقية,Government Entity.csv,2026-01-31
التشغيل الذاتي لبرنامج أمن المعلومات الصحية,Government Entity.csv,2026-01-31
التجمع الصحي الأول بمنطقة الرياض,Government Entity.csv,2026-01-31
تجمع الرياض الصحي الثاني,Government Entity.csv,2026-01-31
بند الوكلاء والوكلاء المساعدين,Government Entity.csv,2026-01-31
التجمع الصحي الأول بالرياض - مستشفى الخاصرة,Government Entity.csv,2026-01-31
برنامج الدعم الفني لأقسام الطوارئ في وزارة الصحة,Government Entity.csv,2026-01-31
مسير رواتب خدمة مدنية تجمع الشرقية الصحي,Government Entity.csv,2026-01-31
مسير خدمة مدنية تجمع الرياض الصحي الثاني,Government Entity.csv,2026-01-31
تجمع الرياض الصحي الأول,Government Entity.csv,2026-01-31
تجمع الشرقية الصحي,Government Entity.csv,2026-01-31
مسير خدمة مدنية تجمع الرياض الصحي الاول,Government Entity.csv,2026-01-31
تجمع الأحساء الصحي,Government Entity.csv,2026-01-31
تجمع الرياض الصحي الثالث,Government Entity.csv,2026-01-31
مسير خدمة مدنية تجمع الرياض الصحي الثالث,Government Entity.csv,2026-01-31
تجمع حائل الصحي,Government Entity.csv,2026-01-31
مسير التشغيل الذاتي لتجمع الرياض الصحي الثالث,Government Entity.csv,2026-01-31
التجمع الصحي بمكة المكرمة,Government Entity.csv,2026-01-31
تجمع المدينة المنورة الصحي,Government Entity.csv,2026-01-31
تجمع الطائف الصحي,Government Entity.csv,2026-01-31
التشغيل الذاتي لمستشفى الحناكية العام,Government Entity.csv,2026-01-31
تجمع حفر الباطن الصحي,Government Entity.csv,2026-01-31
تجمع حفر الباطن الصحي (الخدمة المدنية),Government Entity.csv,2026-01-31
تجمع الجوف الصحي,Government Entity.csv,2026-01-31
تجمع الحدود الشمالية الصحي,Government Entity.csv,2026-01-31
تجمع تبوك الصحي,Government Entity.csv,2026-01-31
التجمع الصحي الأول بالرياض - برنامج التشغيل الذاتي لمستشفى الرين,Government Entity.csv,2026-01-31
التجمع الصحي بالباحة,Government Entity.csv,2026-01-31
تجمع جدة الصحي الاول,Government Entity.csv,2026-01-31
تجمع جدة الصحي الثاني,Government Entity.csv,2026-01-31
تجمع نجران الصحي,Government Entity.csv,2026-01-31
تجمع جازان الصحي,Government Entity.csv,2026-01-31
مسير رواتب التشغيل الذاتي لتجمع عسير الصحي,Government Entity.csv,2026-01-31
تجمع عسير الصحي,Government Entity.csv,2026-01-31
الأمانة العامة للجنة الوزارية للسلامة المرورية,Government Entity.csv,2026-01-31
هيئة الصحة العامة,Government Entity.csv,2026-01-31
المعهد الوطني لأبحاث الصحة,Government Entity.csv,2026-01-31
مركز التأمين الصحي الوطني,Government Entity.csv,2026-01-31
مجلس الضمان الصحي,Government Entity.csv,2026-01-31
وزارة الاعلام,Government Entity.csv,2026-01-31
وزارة الإعلام - الديوان العام,Government Entity.csv,2026-01-31
هيئة الإذاعة والتلفزيون,Government Entity.csv,2026-01-31
وكالة الأنباء السعودية,Government Entity.csv,2026-01-31
الهيئة العامة لتنظيم الإعلام,Government Entity.csv,2026-01-31
التعليم العام,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة الرياض,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الخرج,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظتي الحوطة والحريق,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة القويعية,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة المجمعة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة شقراء,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الدوادمي,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة عفيف,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الأفلاج,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الزلفي,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة وادي الدواسر,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الغاط,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة مكة المكرمة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة جدة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الطائف,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة القنفذة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الليث,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة المدينة المنورة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة ينبع,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة العلا,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة المهد,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة القصيم,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة عنيزة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الرس,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة البكيرية,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بالمنطقة الشرقية,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة الأحساء,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة حفر الباطن,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة عسير,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة بيشة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة النماص,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة محايل عسير,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة رجال المع,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة سراة عبيدة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة الجوف,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة القريات,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة الباحة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة المخواة,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة حائل,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة تبوك,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة الحدود الشمالية,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة جازان,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمحافظة صبيا,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بمنطقة نجران,Government Entity.csv,2026-01-31
إدارة التربية والتعليم بظهران الجنوب,Government Entity.csv,2026-01-31
وزارة التعليم,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة الرياض,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الخرج,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظتي الحوطة و الحريق,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة القويعية,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة المجمعة,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة شقراء,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الدوادمي,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة عفيف,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الإفلاج,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الزلفي,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة وادي الدواسر,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الغاط,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة مكة المكرمة,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة جدة,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الطائف,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة القنفذة,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الليث,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة المدينة المنورة,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة ينبع,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة العلا,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة المهد,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة القصيم,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة عنيزة,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الرس,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة المذنب,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة البكيرية,Government Entity.csv,2026-01-31
إدارة التعليم بالمنطقة الشرقية,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة الأحساء,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة حفر الباطن,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة عسير,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة بيشة,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة النماص,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة محايل عسير,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة رجال ألمع,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة سراة عبيدة,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة الجوف,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة القريات,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة الباحة,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة المخواة,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة حائل,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة تبوك,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة الحدود الشمالية,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة جازان,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة صبيا,Government Entity.csv,2026-01-31
إدارة التعليم بمنطقة نجران,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة ظهران الجنوب,Government Entity.csv,2026-01-31
إدارة التعليم بمحافظة شرورة,Government Entity.csv,2026-01-31
إدارة محاسبة المشاريع في ديوان الوزارة,Government Entity.csv,2026-01-31
معهد العاصمي النموذجي بالرياض,Government Entity.csv,2026-01-31
مكتب تحقيق الرؤية - وزارة التعليم,Government Entity.csv,2026-01-31
الأمانة العامة لمجلس شؤون الجامعات,Government Entity.csv,2026-01-31
وكالة الابتعاث,Government Entity.csv,2026-01-31
جامعة الملك سعود,Government Entity.csv,2026-01-31
جامعة الملك عبدالعزيز,Government Entity.csv,2026-01-31
جامعة الملك فهد للبترول والمعادن,Government Entity.csv,2026-01-31
جامعة الامام محمد بن سعود,Government Entity.csv,2026-01-31
معهد الأمير نايف للبحوث والخدمات الاستشارية,Government Entity.csv,2026-01-31
جامعة الملك فيصل,Government Entity.csv,2026-01-31
جامعة أم القرى,Government Entity.csv,2026-01-31
الجامعة الاسلامية,Government Entity.csv,2026-01-31
جامعة الملك خالد,Government Entity.csv,2026-01-31
جامعة طيبة,Government Entity.csv,2026-01-31
جامعة القصيم,Government Entity.csv,2026-01-31
جامعة الطائف,Government Entity.csv,2026-01-31
جامعة جازان,Government Entity.csv,2026-01-31
جامعة الجوف,Government Entity.csv,2026-01-31
جامعة حائل,Government Entity.csv,2026-01-31
جامعة تبوك,Government Entity.csv,2026-01-31
جامعة الباحة,Government Entity.csv,2026-01-31
جامعة نجران,Government Entity.csv,2026-01-31
جامعة الأميرة نورة بنت عبدالرحمن,Government Entity.csv,2026-01-31
جامعة الحدود الشمالية,Government Entity.csv,2026-01-31
جامعة الإمام عبدالرحمن بن فيصل,Government Entity.csv,2026-01-31
جامعة الأمير سطام بن عبدالعزيز,Government Entity.csv,2026-01-31
جامعة المجمعة,Government Entity.csv,2026-01-31
جامعة شقراء,Government Entity.csv,2026-01-31
الجامعة السعودية الالكترونية,Government Entity.csv,2026-01-31
جامعة جدة,Government Entity.csv,2026-01-31
جامعة حفر الباطن,Government Entity.csv,2026-01-31
جامعة بيشة,Government Entity.csv,2026-01-31
وزارة النقل والخدمات اللوجستية - الديوان العام,Government Entity.csv,2026-01-31
المؤسسة العامة للخطوط الحديدية,Government Entity.csv,2026-01-31
الهيئة العامة للنقل,Government Entity.csv,2026-01-31
الهيئة العامة للطرق,Government Entity.csv,2026-01-31
المركز الوطني لسلامة النقل,Government Entity.csv,2026-01-31
وزارة الاتصالات وتقنية المعلومات - الديوان العام,Government Entity.csv,2026-01-31
البرنامج الوطني لتنمية تقنية المعلومات,Government Entity.csv,2026-01-31
مؤسسة البريد السعودي,Government Entity.csv,2026-01-31
هيئة الاتصالات وتقنية المعلومات,Government Entity.csv,2026-01-31
وزارة الطاقة,Government Entity.csv,2026-01-31
الطاقة فرع الشرقية,Government Entity.csv,2026-01-31
وزارة الطاقة - البرنامج التشغيلي,Government Entity.csv,2026-01-31
وزارة الصناعة والثروة المعدنية,Government Entity.csv,2026-01-31
الثروة المعدنية,Government Entity.csv,2026-01-31
التجمعات الصناعية,Government Entity.csv,2026-01-31
صندوق التعدين,Government Entity.csv,2026-01-31
هيئة المساحة الجيولوجية السعودية,Government Entity.csv,2026-01-31
المركز السعودي للشراكات الاستراتيجية الدولية,Government Entity.csv,2026-01-31
وزارة التجارة,Government Entity.csv,2026-01-31
الهيئة العامة للمعارض والمؤتمرات,Government Entity.csv,2026-01-31
